の	の	indicates possessive / nominalizes verbs and adjectives / substitutes for "ga" in subordinate phrases / (at sentence-end, falling tone) indicates a confident conclusion / (at sentence-end) indicates emotional emphasis / (at sentence-end, rising tone) indicates question
を	を	indicates direct object of action / indicates subject of causative expression / indicates an area traversed / indicates time (period) over which action takes place / indicates point of departure or separation of action / indicates object of desire, like, hate, etc.
に	に	at (place, time), in, on, during / to (direction, state), toward, into / for (purpose) / because of (reason), for, with / by, from / as (i.e. in the role of) / per, in, for, a (e.g. "once a month") / and, in addition to / if, although
が	が	indicates sentence subject (occasionally object) / indicates possessive (esp. in literary expressions) / but, however, still, and / regardless of, whether (or not)
は	は	indicates sentence topic / indicates contrast with another option (stated or unstated) / adds emphasis
と	と	if, when / and / with / used for quoting (thoughts, speech, etc.) / promoted pawn / indicates a question
で	で	at, in / at, when / by, with / and then, so / and, then / let me tell you, don't you know
第	だい	prefix for forming ordinal numbers
する	する	to do, to carry out, to perform / to cause to become, to make (into), to turn (into) / to serve as, to act as, to work as / to wear (clothes, a facial expression, etc.) / to judge as being, to view as being, to think of as, to treat as, to use as / to decide on, to choose / to be sensed (of a smell, noise, etc.) / to be (in a state, condition, etc.) / to be worth, to cost / to pass (of time), to elapse / to place, or raise, person A to a post or status B / to transform A to B, to make A into B, to exchange A for B / to make use of A for B, to view A as B, to handle A as if it were B / to feel A about B / verbalizing suffix (applies to nouns noted in this dictionary with the part of speech "vs") / creates a humble verb (after a noun prefixed with "o" or "go") / to be just about to, to be just starting to, to try to, to attempt to
た	た	did, (have) done / (please) do
な	な	don't / do / hey, listen, look, say / now, ..., well, ..., I tell you!, you know / wow, ooh / right?, isn't it?, doesn't it?, don't you?, don't you think?
条	すじ, スジ	muscle, tendon, sinew / vein, artery / fiber, fibre, string / line, stripe, streak / reason, logic / plot, storyline / lineage, descent / school (e.g. of scholarship or arts) / aptitude, talent / source (of information, etc.), circle, channel / well-informed person (in a transaction) / logical move (in go, shogi, etc.) / ninth vertical line / seam on a helmet / gristly fish paste (made of muscle, tendons, skin, etc.) / social position, status / on (a river, road, etc.), along / counter for long thin things, counter for roads or blocks when giving directions / street (in Osaka) / (Edo period) counter for hundreds of mon (obsolete unit of currency)
こと	こと	particle indicating a command / particle indicating mild enthusiasm / particle indicating a gentle interrogative / particle used to soften a judgment or conclusion
である	である	be, is
場合	ばあい	case, situation
も	も	too, also, in addition, as well, (not) either (in a negative sentence) / both A and B, A as well as B, neither A nor B (in a negative sentence) / even, as much as, as many as, as far as, as long as, no less than, no fewer than / even if, even though, although, in spite of / further, more, again, another, the other
さ	さ	-ness / indicates assertion / come, come now
ます	ます	used to indicate respect for the listener (or reader) / used to indicate respect for those affected by the action
その	その	that, the / part (as in "part two") / um ..., er ..., uh ...
など	など	et cetera, etc., and the like, and so forth / or something / the likes of / for example, for instance, for one
等	など	et cetera, etc., and the like, and so forth / or something / the likes of / for example, for instance, for one
る	る	verb-forming suffix
し	し	and, besides, moreover, what's more, not only ... but also / because, since / the thing is, for one thing
では	では	then, well, so, well then / if not ..., unless ... / bye then
した	した	below, down, under, younger (e.g. daughter) / bottom / beneath, underneath / just after, right after / inferiority, one's inferior (i.e. one's junior) / trade-in / preliminary, preparatory
ある	ある	to be, to exist, to live / to have / to be located / to be equipped with / to happen, to come about
から	から	from (e.g. time, place, numerical quantity), since / from (originator), by / because, since / out of (constituent, part) / through (e.g. window, vestibule) / after, since / expresses sympathy or warning
や	や	such things as ..., and ... and / the minute (that) ..., no sooner than ..., as soon as / be, is / o, oh / huh, what / hi / yes, what? / yes?, no?, is it?, isn't it?
て	て	you said, he said, she said, they said / if ... then / do you seriously think that / I already told you, you should know by now that, of course / the said ..., said ... / says that ... / I hear that ... / as for the term ... / as for ...
項	うなじ	nape (of the neck), nucha
という	という	called, named, that says, that / as many as, as much as / all ..., every single ...
この	この	nine, 9
には	には	to, for, on, in, at / in order to, for / as for, regarding / while it is (was) the case that ..., indeed ... (but), certainly ... (but)
年	とし	year / age, years / past one's prime, old age
って	って	you said, he said, she said, they said / if ... then / do you seriously think that / I already told you, you should know by now that, of course / the said ..., said ... / says that ... / I hear that ... / as for the term ... / as for ...
について	について	concerning, regarding / per (e.g. 100 yen per person), for every
です	です	be, is
又は	または	or, either ... or ...
して	して	by (indicating means of action), as (a group, etc.) / indicates the agent in a causative construction / acts as a connective indicating a state or condition / adds emphasis / and, so, then
規定	きてい	stipulation, prescription, provision, regulation, rule / normal (unit of normality) / compulsory exercise (in gymnastics), compulsory routine, compulsory dance (figure skating), (a) compulsory
てい	てい	appearance, air, condition, state, form
ら	ら	lightweight fabric or clothing, silk gauze, thin silk / Latin (language)
者	もの, もん	person
及び	および	and, as well as
として	として	as (i.e. in the role of), for (i.e. from the viewpoint of) / apart from... (used to change the topic) / even (e.g. "not even a single person") / thinking that..., trying to...
条文	じょうぶん	text, provisions (act, treaty)
してい	してい	servant, janitor, messenger
による	による	by means of, due to, because of, according to
号	ごう	number, edition, make, model, issue, part of that group / sobriquet, pen-name / size (of printing types, canvases, knitting needles, etc.) / suffix attached to names of ships, trains, airplanes, etc.
において	において	in, on, at (place), as for, regarding
あり	あり	ant
ので	ので	that being the case, because of ..., the reason is ..., given that ...
される	される	to be done (to someone or something) / to do, to be doing
当該	とうがい	appropriate (e.g. authorities), concerned, relevant, said, aforementioned, competent, applicable, respective
ド	ド	doh (1st note of a major scale in movable-do solfège), do / C (note in the fixed-do system)
日	ひ	day, days / sun, sunshine, sunlight / (the) day, daytime, daylight / date, deadline / (past) days, time (e.g. of one's childhood) / case (esp. unfortunate), event
ン	ン	some (at the start of a number in place of a digit)
必要	ひつよう	necessary, needed, essential, indispensable / necessity, need, requirement
いる	いる	to shoot (arrow, bolt, dart)
関する	かんする	to concern, to be related
人	じん	-ian (e.g. Italian), -ite (e.g. Tokyoite) / -er (e.g. performer, etc.), person working with ... / man, person, people
とき	とき	regular (stops at every station) Jouetsu-line Shinkansen
ため	ため	the same (age, social status), peer
また	また	crotch, crutch, groin, thigh / fork (in a tree, road, river, etc.), tines (of a fork)
月	つき	Moon / month / moonlight / (a) moon, natural satellite
他	ほか	other (place, thing, person), the rest, et al. / outside, beyond / nothing except, nothing but, nothing apart from, nothing aside from, no choice (but to) / besides..., in addition to...
ト	ト	7th in a sequence denoted by the iroha system / 7th note in the diatonic scale (used in key names, etc.), G
により	により	similarity
す	す	be, is
とは	とは	indicates word or phrase being defined / used for quoting (thoughts, speech, etc.) / with / (not) as much as, (not) so much as / the fact that, to think that, such a thing as
であ	であ	to be
コ	コ	counter for articles / counter for military units / individual
く	く	section (i.e. of text), sentence, passage, paragraph / phrase / verse (of 5 or 7 mora in Japanese poetry; of 4, 5, or 7 characters in Chinese poetry) / haiku, first 17 morae of a renga, etc. / maxim, saying, idiom, expression
解説	かいせつ	explanation, commentary, exposition, elucidation
います	います	to be / to go, to come
書	ふみ	letter, writings
によって	によって	according to, by (means of), due to, because of
参照	さんしょう	reference (e.g. to a dictionary, passage, footnotes), consultation, comparison / browsing (to a file or folder)
き	き	yellow
り	り	understood, OK, roger
ことができる	ことができる	to be able (to), to be possible (to)
へ	へ	to, towards, for
中	なか	inside, interior / among, within / middle, center, centre / during, while, middle, midst, amid / interval, gap / mean, average / second (of three, e.g. sons, volumes), middle / medium grade, medium quality / red-light district
用	よう	business, task, errand, engagement / use, purpose / for the use of ..., used for ..., made for ... / call of nature, excretion
上	うえ	above, over, up / top, summit, upper part, head (e.g. of a staircase) / surface, on (top of) / the above (in a piece of writing), earlier part / superior, better, higher (position, rank, etc.), upper (class) / elder, older, senior / with respect to ..., in terms of, as far as ... is concerned, when (e.g. drunk) / besides ..., in addition to ..., on top of ..., as well as ... / after ..., upon ..., on ..., with (e.g. full awareness), as a result of ... / since ..., now that ..., because ... / honorable, venerable, dear / emperor, sovereign, shogun, daimyo
ロ	ロ	2nd in a sequence denoted by the iroha system, 2nd note in the diatonic scale (used in key names, etc.)
