コントラクト	コントラクト	contract
国庫	こっこ	national treasury
根号	こんごう	radical sign, root sign
移る	うつる	to move (house), to transfer (department) / to change the target of interest or concern / to elapse (passage of time) / to be permeated by a colour or scent / to be infected, to be contagious, to spread (as in fire)
果物	くだもの, かぶつ	fruit
東西	とうざい, ひがしにし	east and west / Orient and Occident, East and West / ladies and gentlemen!, your attention, please!, roll-up, roll-up
消する	しょうする	to disappear / to cause to disappear, to get rid of / (of time) to pass, to while away
共産主義	きょうさんしゅぎ	communism, collectivism
少々	しょうしょう	just a minute, small quantity
高める	たかめる	to raise, to lift, to boost, to enhance
宣伝	せんでん	publicity, advertisement, advertising, propaganda
日本海	にほんかい	Sea of Japan
趣味	しゅみ	hobby, pastime / tastes, preference, liking
密接	みっせつ	close (relationship, connection, etc.), intimate, near / close (together)
小学	しょうがく	elementary school, primary school, grade school / school for children over eight years old in ancient China / traditional Chinese philology
負荷	ふか	burden / load (electrical, CPU, etc.)
母親	ははおや	mother
走行	そうこう	running (of a car, bus, etc.), traveling, travelling / running (of a program)
にあたって	にあたって	on the occasion of, at the time of
一定期間	いっていきかん	fixed interval, fixed period
溶質	ようしつ	solute
わかりやすい	わかりやすい	easy-to-understand
照会	しょうかい	inquiry, enquiry, query, reference
最小値	さいしょうち	minimum value, min
炭酸	たんさん, タンサン	carbonic acid / carbonated water, carbonated drink / baking soda, sodium carbonate
抽出	ちゅうしゅつ	extraction, abstraction / selection (from a group), sampling
係	かかり	charge, duty, person in charge, official, clerk / connection, linking
分担	ぶんたん	taking on one's share (e.g. of work), dividing (work, expenses, etc.) between, apportionment, allotment, allocation, assignment
厚	あつ	thickness
妹	いもうと	younger sister
源氏物語	げんじものがたり	The Tale of Genji (Heian-period classic)
刑罰	けいばつ	(criminal) punishment, penalty, sentence
実用化	じつようか	making practical, making useful, implementing
評論家	ひょうろんか	critic, reviewer, commentator
君主	くんしゅ	ruler, monarch, sovereign
電	いなずま, いなづま	lightning, flash of lightning, lightning bolt
単一化	たんいつか	simplification, unification
によらず	によらず	in contrast to, despite
口語	こうご	spoken language, colloquial speech / (modern) spoken Japanese, written style based on (modern) spoken Japanese
相似	そうじ	resemblance, likeness, similitude / similarity / analogy
ミトコンドリア	ミトコンドリア	mitochondria
クロム	クロム	chromium (Cr)
未知	みち	not yet known, unknown, strange
機械設計	きかいせっけい	mechanical design
